co_municipio,rede,ano,ideb,rend,meta,nm,port,mat,aprov
1100338,Estadual,2013,3.9,0.78379,4.0,5.028667,252.73,248.99,77.9
1100338,Estadual,2015,3.7,0.772847,4.4,4.7565,240.45,244.94,77.0
1100338,Estadual,2017,4.3,0.907927,4.7,4.716833,240.38,242.63,90.8
1100338,Estadual,2019,4.5,0.915826,4.9,4.965,247.57,250.33,91.6
1100338,Estadual,2021,4.4,0.924459,5.2,4.719,240.99,242.15,92.4
1100338,Estadual,2023,4.3,0.953727,,4.550333,236.49,236.53,95.3
1100338,Estadual,2025,4.4,0.973778,,4.543,237.97,234.61,97.2
1100338,Municipal,2011,3.6,0.671683,,5.309167,255.22,263.33,65.4
1100338,Municipal,2013,3.6,0.779013,3.8,4.6745,239.88,240.59,76.8
1100338,Municipal,2015,,0.71431,4.1,,,,70.5
1100338,Municipal,2017,,0.732005,4.3,,,,72.0
1100338,Municipal,2019,,,4.6,,,,
1100338,Municipal,2021,,,4.9,,,,
1100338,Pública,2005,2.8,0.609486,,4.5295,226.0,245.8,59.5
1100338,Pública,2007,3.0,0.706396,2.8,4.298333,219.01,238.89,69.3
1100338,Pública,2009,3.1,0.754254,3.0,4.120333,222.38,224.84,74.3
1100338,Pública,2011,3.1,0.639655,3.3,4.801167,243.01,245.06,62.8
1100338,Pública,2013,3.9,0.781436,3.8,4.955333,250.07,247.25,77.3
1100338,Pública,2015,3.6,0.747802,4.2,4.7565,240.45,244.94,73.9
1100338,Pública,2017,4.0,0.855202,4.4,4.716833,240.38,242.63,85.3
1100338,Pública,2019,4.5,0.908057,4.7,4.965,247.57,250.33,90.7
1100338,Pública,2021,4.4,0.929188,5.0,4.719,240.99,242.15,92.9
1100338,Pública,2023,4.3,0.938684,,4.550333,236.49,236.53,93.9
1100338,Pública,2025,4.4,0.960952,,4.543,237.97,234.61,96.1
1100346,Estadual,2005,3.4,0.796807,,4.215894,218.9,234.0,79.2
1100346,Estadual,2007,3.4,0.818692,3.4,4.105167,217.65,228.66,81.9
1100346,Estadual,2009,3.9,0.856667,3.5,4.502833,233.44,236.73,85.8
1100346,Estadual,2011,3.6,0.790696,3.8,4.5595,234.58,238.99,79.3
1100346,Estadual,2013,4.0,0.92313,4.2,4.3,223.29,234.71,92.0
1100346,Estadual,2015,3.9,0.84499,4.6,4.598333,234.12,241.78,85.1
1100346,Estadual,2017,5.2,0.94672,4.9,5.471833,268.23,260.08,95.1
1100346,Estadual,2019,5.1,0.96478,5.1,5.259833,256.02,259.57,96.6
1100346,Estadual,2021,4.9,0.994712,5.4,4.89,246.76,246.64,99.5
1100346,Estadual,2023,4.8,0.984091,,4.8955,246.15,247.58,98.3
1100346,Estadual,2025,4.8,0.99311,,4.837833,245.66,244.61,99.3
1100346,Municipal,2007,3.6,0.903017,,3.9385,209.9,226.41,90.1
1100346,Municipal,2009,3.5,0.863014,3.6,4.094167,218.08,227.57,85.9
1100346,Municipal,2011,3.7,0.853472,3.9,4.298833,219.83,238.1,85.3
1100346,Municipal,2013,3.4,0.816686,4.2,4.202167,221.54,230.59,83.1
1100346,Municipal,2015,,0.930365,4.5,,,,92.1
1100346,Municipal,2017,4.1,0.88268,4.8,4.599833,232.75,243.24,87.8
1100346,Municipal,2019,4.1,0.857381,5.0,4.735167,234.23,249.88,85.2
1100346,Municipal,2021,4.6,0.974235,5.3,4.682,239.8,241.12,97.5
1100346,Municipal,2023,4.1,0.947614,,4.329167,229.28,230.47,94.7
1100346,Municipal,2025,3.8,0.978471,,3.914167,214.03,220.82,97.6
1100346,Pública,2005,3.4,0.814698,,4.215833,218.9,234.0,80.5
1100346,Pública,2007,3.5,0.856488,3.5,4.079167,216.44,228.31,85.5
1100346,Pública,2009,3.7,0.859671,3.6,4.3565,227.94,233.45,85.9
1100346,Pública,2011,3.7,0.823003,3.9,4.468167,229.41,238.68,82.4
1100346,Pública,2013,3.7,0.873655,4.3,4.2675,222.71,233.34,87.8
1100346,Pública,2015,4.1,0.882501,4.7,4.598333,234.12,241.78,88.2
1100346,Pública,2017,4.8,0.91736,4.9,5.217833,257.9,255.17,91.5
1100346,Pública,2019,4.7,0.922145,5.2,5.099167,249.35,256.6,92.0
